movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
the dilemma,Channing Tatum,Clint Howard,Chelcie Ross,Ron Howard,Comedy Drama,the dilemmaChanning TatumClint HowardChelcie RossRon HowardComedy Drama
bad company,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Joel Schumacher,Action Adventure Comedy Thriller,bad companyAnthony HopkinsBrooke SmithGarcelle BeauvaisJoel SchumacherAction Adventure Comedy Thriller
doom,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Andrzej Bartkowiak,Action Adventure Horror Sci-Fi,doomDwayne JohnsonBen DanielsDexter FletcherAndrzej BartkowiakAction Adventure Horror Sci-Fi
i spy,Gary Cole,Phill Lewis,Tate Taylor,Betty Thomas,Action Adventure Comedy Thriller,i spyGary ColePhill LewisTate TaylorBetty ThomasAction Adventure Comedy Thriller
underworld: awakening,Theo James,Stephen Rea,Sandrine Holt,Måns Mårlind,Action Fantasy Horror,underworld: awakeningTheo JamesStephen ReaSandrine HoltMåns MårlindAction Fantasy Horror
rock of ages,James Martin Kelly,Shane Hartline,Celina Beach,Adam Shankman,Comedy Drama Musical Romance,rock of agesJames Martin KellyShane HartlineCelina BeachAdam ShankmanComedy Drama Musical Romance
hart's war,Bruce Willis,Cole Hauser,Rory Cochrane,Gregory Hoblit,Drama War,hart's warBruce WillisCole HauserRory CochraneGregory HoblitDrama War
killer elite,Jason Statham,Robert De Niro,Ben Mendelsohn,Gary McKendry,Action Crime Thriller,killer eliteJason StathamRobert De NiroBen MendelsohnGary McKendryAction Crime Thriller
rollerball,LL Cool J,Chris Klein,Andrew Bryniarski,John McTiernan,Action Sci-Fi Sport,rollerballLL Cool JChris KleinAndrew BryniarskiJohn McTiernanAction Sci-Fi Sport
ballistic: ecks vs. sever,Talisa Soto,Sandrine Holt,Gregg Henry,Wych Kaosayananda,Action Crime Sci-Fi Thriller,ballistic: ecks vs. severTalisa SotoSandrine HoltGregg HenryWych KaosayanandaAction Crime Sci-Fi Thriller
hard rain,Morgan Freeman,Minnie Driver,Randy Quaid,Mikael Salomon,Action Crime Drama Thriller,hard rainMorgan FreemanMinnie DriverRandy QuaidMikael SalomonAction Crime Drama Thriller
osmosis jones,Ron Howard,Brandy Norwood,David Hyde Pierce,Bobby Farrelly,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jonesRon HowardBrandy NorwoodDavid Hyde PierceBobby FarrellyAction Adventure Animation Comedy Crime Family Fantasy
legends of oz: dorothy's return,Lea Michele,Oliver Platt,Jim Belushi,Will Finn,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's returnLea MicheleOliver PlattJim BelushiWill FinnAdventure Animation Family Fantasy Musical
blackhat,Chris Hemsworth,Archie Kao,Brandon Molale,Michael Mann,Action Crime Drama Mystery Thriller,blackhatChris HemsworthArchie KaoBrandon MolaleMichael MannAction Crime Drama Mystery Thriller
sky captain and the world of tomorrow,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Kerry Conran,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrowAngelina Jolie PittLaurence OlivierBai LingKerry ConranAction Adventure Mystery Sci-Fi Thriller
basic instinct 2,Charlotte Rampling,Indira Varma,Neil Maskell,Michael Caton-Jones,Crime Mystery Thriller,basic instinct 2Charlotte RamplingIndira VarmaNeil MaskellMichael Caton-JonesCrime Mystery Thriller
escape plan,Sylvester Stallone,50 Cent,Matt Gerald,Mikael Håfström,Action Crime Mystery Sci-Fi Thriller,escape planSylvester Stallone50 CentMatt GeraldMikael HåfströmAction Crime Mystery Sci-Fi Thriller
the legend of hercules,Roxanne McKee,Luke Newberry,Gaia Weiss,Renny Harlin,Action Adventure Fantasy,the legend of herculesRoxanne McKeeLuke NewberryGaia WeissRenny HarlinAction Adventure Fantasy
the sum of all fears,Morgan Freeman,Bruce McGill,Philip Baker Hall,Phil Alden Robinson,Action Drama Thriller,the sum of all fearsMorgan FreemanBruce McGillPhilip Baker HallPhil Alden RobinsonAction Drama Thriller
the twilight saga: eclipse,Robert Pattinson,Kristen Stewart,Anna Kendrick,David Slade,Adventure Drama Fantasy Romance,the twilight saga: eclipseRobert PattinsonKristen StewartAnna KendrickDavid SladeAdventure Drama Fantasy Romance
the score,Robert De Niro,Marlon Brando,Gary Farmer,Frank Oz,Crime Drama Thriller,the scoreRobert De NiroMarlon BrandoGary FarmerFrank OzCrime Drama Thriller
despicable me,Steve Carell,Miranda Cosgrove,Jack McBrayer,Pierre Coffin,Animation Comedy Family,despicable meSteve CarellMiranda CosgroveJack McBrayerPierre CoffinAnimation Comedy Family
money train,Vincent Pastore,Robert Blake,Aida Turturro,Joseph Ruben,Action Comedy Crime Drama Thriller,money trainVincent PastoreRobert BlakeAida TurturroJoseph RubenAction Comedy Crime Drama Thriller
ted 2,Liam Neeson,Morgan Freeman,Seth MacFarlane,Seth MacFarlane,Comedy,ted 2Liam NeesonMorgan FreemanSeth MacFarlaneSeth MacFarlaneComedy
agora,Max Minghella,Ashraf Barhom,Rupert Evans,Alejandro Amenábar,Adventure Drama History Romance,agoraMax MinghellaAshraf BarhomRupert EvansAlejandro AmenábarAdventure Drama History Romance
mystery men,Janeane Garofalo,Wes Studi,Eddie Izzard,Kinka Usher,Action Comedy Fantasy Sci-Fi,mystery menJaneane GarofaloWes StudiEddie IzzardKinka UsherAction Comedy Fantasy Sci-Fi
hall pass,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Bobby Farrelly,Comedy Romance,hall passJenna FischerLarry Joe CampbellStephen MerchantBobby FarrellyComedy Romance
the insider,Al Pacino,Rip Torn,Debi Mazar,Michael Mann,Biography Drama Thriller,the insiderAl PacinoRip TornDebi MazarMichael MannBiography Drama Thriller
the finest hours,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Craig Gillespie,Action Drama History Thriller,the finest hoursMichael Raymond-JamesAbraham BenrubiGraham McTavishCraig GillespieAction Drama History Thriller
body of lies,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Ridley Scott,Action Drama Thriller,body of liesLeonardo DiCaprioSimon McBurneyMichael GastonRidley ScottAction Drama Thriller
dinner for schmucks,Steve Carell,Stephanie Szostak,Bruce Greenwood,Jay Roach,Comedy,dinner for schmucksSteve CarellStephanie SzostakBruce GreenwoodJay RoachComedy
abraham lincoln: vampire hunter,Rufus Sewell,Dominic Cooper,Benjamin Walker,Timur Bekmambetov,Action Fantasy Horror,abraham lincoln: vampire hunterRufus SewellDominic CooperBenjamin WalkerTimur BekmambetovAction Fantasy Horror
entrapment,Will Patton,Kevin McNally,Maury Chaykin,Jon Amiel,Action Crime Romance Thriller,entrapmentWill PattonKevin McNallyMaury ChaykinJon AmielAction Crime Romance Thriller
last man standing            ,Hector Elizondo,Kaitlyn Dever,Nancy Travis,unknown,Comedy,last man standing            Hector ElizondoKaitlyn DeverNancy TravisunknownComedy
the x files,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Rob Bowman,Drama Mystery Sci-Fi Thriller,the x filesMartin LandauMitch PileggiJeffrey DeMunnRob BowmanDrama Mystery Sci-Fi Thriller
the last legion,Colin Firth,Nonso Anozie,Owen Teale,Doug Lefler,Action Adventure Fantasy War,the last legionColin FirthNonso AnozieOwen TealeDoug LeflerAction Adventure Fantasy War
saving private ryan,Tom Hanks,Vin Diesel,Matt Damon,Steven Spielberg,Action Drama War,saving private ryanTom HanksVin DieselMatt DamonSteven SpielbergAction Drama War
need for speed,Rami Malek,Dominic Cooper,Ramon Rodriguez,Scott Waugh,Action Crime Drama Thriller,need for speedRami MalekDominic CooperRamon RodriguezScott WaughAction Crime Drama Thriller
what women want,Judy Greer,Lisa Edelstein,Loretta Devine,Nancy Meyers,Comedy Fantasy Romance,what women wantJudy GreerLisa EdelsteinLoretta DevineNancy MeyersComedy Fantasy Romance
ice age,Goran Visnjic,Stephen Root,Denis Leary,Chris Wedge,Adventure Animation Comedy Family,ice ageGoran VisnjicStephen RootDenis LearyChris WedgeAdventure Animation Comedy Family
dreamcatcher,Morgan Freeman,Michael O'Neill,Reece Thompson,Lawrence Kasdan,Drama Horror Sci-Fi Thriller,dreamcatcherMorgan FreemanMichael O'NeillReece ThompsonLawrence KasdanDrama Horror Sci-Fi Thriller
lincoln,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Steven Spielberg,Biography Drama History War,lincolnJoseph Gordon-LevittHal HolbrookBruce McGillSteven SpielbergBiography Drama History War
the matrix,Keanu Reeves,Marcus Chong,Gloria Foster,Lana Wachowski,Action Sci-Fi,the matrixKeanu ReevesMarcus ChongGloria FosterLana WachowskiAction Sci-Fi
apollo 13,Tom Hanks,Miko Hughes,Kathleen Quinlan,Ron Howard,Adventure Drama History,apollo 13Tom HanksMiko HughesKathleen QuinlanRon HowardAdventure Drama History
total recall,Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,Action Sci-Fi,total recallRonny CoxRachel TicotinMarshall BellPaul VerhoevenAction Sci-Fi
the santa clause 2,Judge Reinhold,Aisha Tyler,Eric Lloyd,Michael Lembeck,Comedy Family Fantasy,the santa clause 2Judge ReinholdAisha TylerEric LloydMichael LembeckComedy Family Fantasy
les misérables,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Tom Hooper,Drama Musical Romance,les misérablesHugh JackmanEddie RedmayneAnne HathawayTom HooperDrama Musical Romance
you've got mail,Tom Hanks,Jean Stapleton,Dave Chappelle,Nora Ephron,Comedy Drama Romance,you've got mailTom HanksJean StapletonDave ChappelleNora EphronComedy Drama Romance
step brothers,Will Ferrell,Adam Scott,Andrea Savage,Adam McKay,Comedy,step brothersWill FerrellAdam ScottAndrea SavageAdam McKayComedy
the mask of zorro,Anthony Hopkins,Tony Amendola,Stuart Wilson,Martin Campbell,Action Adventure Comedy Romance Thriller Western,the mask of zorroAnthony HopkinsTony AmendolaStuart WilsonMartin CampbellAction Adventure Comedy Romance Thriller Western
due date,Robert Downey Jr.,RZA,Matt Walsh,Todd Phillips,Comedy Drama,due dateRobert Downey Jr.RZAMatt WalshTodd PhillipsComedy Drama
space cowboys,Clint Eastwood,Courtney B. Vance,William Devane,Clint Eastwood,Action Adventure Thriller,space cowboysClint EastwoodCourtney B. VanceWilliam DevaneClint EastwoodAction Adventure Thriller
cliffhanger,Sylvester Stallone,Leon,Janine Turner,Renny Harlin,Action Adventure Thriller,cliffhangerSylvester StalloneLeonJanine TurnerRenny HarlinAction Adventure Thriller
broken arrow,Delroy Lindo,Samantha Mathis,Bob Gunton,John Woo,Action Crime Thriller,broken arrowDelroy LindoSamantha MathisBob GuntonJohn WooAction Crime Thriller
the kid,Bruce Willis,Lily Tomlin,Daniel von Bargen,Jon Turteltaub,Comedy Family Fantasy,the kidBruce WillisLily TomlinDaniel von BargenJon TurteltaubComedy Family Fantasy
world trade center,Nicolas Cage,Jay Hernandez,Armando Riesco,Oliver Stone,Drama History Thriller,world trade centerNicolas CageJay HernandezArmando RiescoOliver StoneDrama History Thriller
mona lisa smile,Julia Roberts,Kirsten Dunst,Marian Seldes,Mike Newell,Drama,mona lisa smileJulia RobertsKirsten DunstMarian SeldesMike NewellDrama
the dictator,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Larry Charles,Comedy Romance,the dictatorSayed BadreyaAasif MandviHoratio SanzLarry CharlesComedy Romance
eyes wide shut,Tom Cruise,Vinessa Shaw,Sydney Pollack,Stanley Kubrick,Drama Mystery Thriller,eyes wide shutTom CruiseVinessa ShawSydney PollackStanley KubrickDrama Mystery Thriller
annie,Quvenzhané Wallis,Dorian Missick,David Zayas,Will Gluck,Comedy Drama Family Musical,annieQuvenzhané WallisDorian MissickDavid ZayasWill GluckComedy Drama Family Musical
focus,Will Smith,Adrian Martinez,Gerald McRaney,Glenn Ficarra,Comedy Crime Drama Romance,focusWill SmithAdrian MartinezGerald McRaneyGlenn FicarraComedy Crime Drama Romance
this means war,Tom Hardy,Abigail Spencer,Warren Christie,McG,Action Comedy Romance,this means warTom HardyAbigail SpencerWarren ChristieMcGAction Comedy Romance
blade: trinity,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,David S. Goyer,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinityRyan ReynoldsNatasha LyonneJohn Michael HigginsDavid S. GoyerAction Adventure Fantasy Horror Sci-Fi Thriller
red dawn,Lea Thompson,Jennifer Grey,William Smith,John Milius,Action Drama War,red dawnLea ThompsonJennifer GreyWilliam SmithJohn MiliusAction Drama War
primary colors,Maura Tierney,Adrian Lester,Paul Guilfoyle,Mike Nichols,Comedy Drama,primary colorsMaura TierneyAdrian LesterPaul GuilfoyleMike NicholsComedy Drama
resident evil: retribution,Milla Jovovich,Boris Kodjoe,Bingbing Li,Paul W.S. Anderson,Action Horror Sci-Fi Thriller,resident evil: retributionMilla JovovichBoris KodjoeBingbing LiPaul W.S. AndersonAction Horror Sci-Fi Thriller
death race,Jason Statham,Max Ryan,Joan Allen,Paul W.S. Anderson,Action Sci-Fi Thriller,death raceJason StathamMax RyanJoan AllenPaul W.S. AndersonAction Sci-Fi Thriller
the long kiss goodnight,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Renny Harlin,Action Crime Drama Mystery Thriller,the long kiss goodnightMelina KanakaredesCraig BierkoYvonne ZimaRenny HarlinAction Crime Drama Mystery Thriller
proof of life,Pamela Reed,Alun Armstrong,Michael Kitchen,Taylor Hackford,Action Drama Thriller,proof of lifePamela ReedAlun ArmstrongMichael KitchenTaylor HackfordAction Drama Thriller
zathura: a space adventure,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Jon Favreau,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventureKristen StewartJosh HutchersonJonah BoboJon FavreauAction Adventure Comedy Family Fantasy Sci-Fi
fight club,Brad Pitt,Meat Loaf,Eugenie Bondurant,David Fincher,Drama,fight clubBrad PittMeat LoafEugenie BondurantDavid FincherDrama
we are marshall,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,McG,Drama Sport,we are marshallMatthew McConaugheyKimberly Williams-PaisleyBrian GeraghtyMcGDrama Sport
the missing            ,Jason Flemyng,James Nesbitt,Frances O'Connor,unknown,Crime Drama Mystery,the missing            Jason FlemyngJames NesbittFrances O'ConnorunknownCrime Drama Mystery
hudson hawk,Bruce Willis,James Coburn,Richard E. Grant,Michael Lehmann,Action Adventure Comedy,hudson hawkBruce WillisJames CoburnRichard E. GrantMichael LehmannAction Adventure Comedy
lucky numbers,Michael Rapaport,Michael Moore,Richard Schiff,Nora Ephron,Comedy Crime,lucky numbersMichael RapaportMichael MooreRichard SchiffNora EphronComedy Crime
"i, frankenstein",Caitlin Stasey,Kevin Grevioux,Miranda Otto,Stuart Beattie,Action Fantasy Sci-Fi Thriller,"i, frankensteinCaitlin StaseyKevin GreviouxMiranda OttoStuart BeattieAction Fantasy Sci-Fi Thriller"
oliver twist,Ian McNeice,Barney Clark,Tony Noble,Roman Polanski,Crime Drama,oliver twistIan McNeiceBarney ClarkTony NobleRoman PolanskiCrime Drama
elektra,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Rob Bowman,Action Crime Fantasy Thriller,elektraJennifer GarnerCary-Hiroyuki TagawaGoran VisnjicRob BowmanAction Crime Fantasy Thriller
sin city: a dame to kill for,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Frank Miller,Action Crime Thriller,sin city: a dame to kill forJoseph Gordon-LevittBruce WillisEva GreenFrank MillerAction Crime Thriller
random hearts,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Sydney Pollack,Drama Mystery Romance,random heartsHarrison FordKristin Scott ThomasBill CobbsSydney PollackDrama Mystery Romance
everest,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Baltasar Kormákur,Adventure Biography Drama History Sport Thriller,everestMichael KellyMartin HendersonTom Goodman-HillBaltasar KormákurAdventure Biography Drama History Sport Thriller
perfume: the story of a murderer,Michael Smiley,David Calder,Simon Chandler,Tom Tykwer,Crime Drama Fantasy,perfume: the story of a murdererMichael SmileyDavid CalderSimon ChandlerTom TykwerCrime Drama Fantasy
austin powers in goldmember,Verne Troyer,Josh Zuckerman,Robert Wagner,Jay Roach,Action Comedy Crime,austin powers in goldmemberVerne TroyerJosh ZuckermanRobert WagnerJay RoachAction Comedy Crime
astro boy,Nicolas Cage,Charlize Theron,Dee Bradley Baker,David Bowers,Action Animation Comedy Family Sci-Fi,astro boyNicolas CageCharlize TheronDee Bradley BakerDavid BowersAction Animation Comedy Family Sci-Fi
jurassic park,Wayne Knight,Ariana Richards,Bob Peck,Steven Spielberg,Adventure Sci-Fi Thriller,jurassic parkWayne KnightAriana RichardsBob PeckSteven SpielbergAdventure Sci-Fi Thriller
wyatt earp,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Lawrence Kasdan,Adventure Biography Crime Drama Western,wyatt earpDennis QuaidCatherine O'HaraIsabella RosselliniLawrence KasdanAdventure Biography Crime Drama Western
clear and present danger,Harrison Ford,Dean Jones,Raymond Cruz,Phillip Noyce,Action Crime Drama Thriller,clear and present dangerHarrison FordDean JonesRaymond CruzPhillip NoyceAction Crime Drama Thriller
dragon blade,Si Won Choi,Peng Lin,Sung-jun Yoo,Daniel Lee,Action Adventure Drama History,dragon bladeSi Won ChoiPeng LinSung-jun YooDaniel LeeAction Adventure Drama History
littleman,Chazz Palminteri,Brittany Daniel,John Witherspoon,Keenen Ivory Wayans,Comedy Crime,littlemanChazz PalminteriBrittany DanielJohn WitherspoonKeenen Ivory WayansComedy Crime
u-571,Matthew McConaughey,Thomas Kretschmann,David Keith,Jonathan Mostow,Action War,u-571Matthew McConaugheyThomas KretschmannDavid KeithJonathan MostowAction War
the american president,Shawna Waldron,Samantha Mathis,Wendie Malick,Rob Reiner,Comedy Drama Romance,the american presidentShawna WaldronSamantha MathisWendie MalickRob ReinerComedy Drama Romance
the love guru,Justin Timberlake,Romany Malco,Verne Troyer,Marco Schnabel,Comedy Romance Sport,the love guruJustin TimberlakeRomany MalcoVerne TroyerMarco SchnabelComedy Romance Sport
3000 miles to graceland,Jon Lovitz,Bokeem Woodbine,Ice-T,Demian Lichtenstein,Action Comedy Crime Thriller,3000 miles to gracelandJon LovitzBokeem WoodbineIce-TDemian LichtensteinAction Comedy Crime Thriller
the hateful eight,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Quentin Tarantino,Crime Drama Mystery Thriller Western,the hateful eightCraig StarkJennifer Jason LeighZoë BellQuentin TarantinoCrime Drama Mystery Thriller Western
blades of glory,Will Ferrell,Amy Poehler,Jon Heder,Josh Gordon,Comedy Sport,blades of gloryWill FerrellAmy PoehlerJon HederJosh GordonComedy Sport
hop,Gary Cole,Elizabeth Perkins,Chelsea Handler,Tim Hill,Adventure Animation Comedy Family Fantasy,hopGary ColeElizabeth PerkinsChelsea HandlerTim HillAdventure Animation Comedy Family Fantasy
300,Gerard Butler,Michael Fassbender,Vincent Regan,Zack Snyder,Action Drama Fantasy War,300Gerard ButlerMichael FassbenderVincent ReganZack SnyderAction Drama Fantasy War
meet the fockers,Robert De Niro,Blythe Danner,Teri Polo,Jay Roach,Comedy Romance,meet the fockersRobert De NiroBlythe DannerTeri PoloJay RoachComedy Romance
marley & me,Eric Dane,Kathleen Turner,Haley Bennett,David Frankel,Comedy Drama Family,marley & meEric DaneKathleen TurnerHaley BennettDavid FrankelComedy Drama Family
the green mile,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Frank Darabont,Crime Drama Fantasy Mystery,the green mileTom HanksJeffrey DeMunnMichael JeterFrank DarabontCrime Drama Fantasy Mystery
wild hogs,Jill Hennessy,Tichina Arnold,Drew Sidora,Walt Becker,Action Adventure Comedy,wild hogsJill HennessyTichina ArnoldDrew SidoraWalt BeckerAction Adventure Comedy
chicken little,Catherine O'Hara,Fred Willard,Amy Sedaris,Mark Dindal,Adventure Animation Comedy Family Sci-Fi,chicken littleCatherine O'HaraFred WillardAmy SedarisMark DindalAdventure Animation Comedy Family Sci-Fi
gone girl,Patrick Fugit,Sela Ward,Emily Ratajkowski,David Fincher,Crime Drama Mystery Thriller,gone girlPatrick FugitSela WardEmily RatajkowskiDavid FincherCrime Drama Mystery Thriller
the bourne identity,Matt Damon,Josh Hamilton,Nicky Naudé,Doug Liman,Action Mystery Thriller,the bourne identityMatt DamonJosh HamiltonNicky NaudéDoug LimanAction Mystery Thriller
goldeneye,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Martin Campbell,Action Adventure Thriller,goldeneyeIzabella ScorupcoJoe Don BakerTchéky KaryoMartin CampbellAction Adventure Thriller
the general's daughter,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Simon West,Drama Mystery Thriller,the general's daughterDaniel von BargenTimothy HuttonClarence Williams IIISimon WestDrama Mystery Thriller
the truman show,Natascha McElhone,Noah Emmerich,Peter Krause,Peter Weir,Comedy Drama Sci-Fi,the truman showNatascha McElhoneNoah EmmerichPeter KrausePeter WeirComedy Drama Sci-Fi
the prince of egypt,Martin Short,Aria Noelle Curzon,Eden Riegel,Brenda Chapman,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egyptMartin ShortAria Noelle CurzonEden RiegelBrenda ChapmanAdventure Animation Biography Drama Family Fantasy Musical
daddy day care,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Steve Carr,Comedy Family,daddy day careAnjelica HustonLisa EdelsteinJeff GarlinSteve CarrComedy Family
2 guns,Denzel Washington,Patrick Fischler,Fred Ward,Baltasar Kormákur,Action Comedy Crime Drama Thriller,2 gunsDenzel WashingtonPatrick FischlerFred WardBaltasar KormákurAction Comedy Crime Drama Thriller
cats & dogs,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Lawrence Guterman,Action Comedy Family Fantasy,cats & dogsCarol Ann SusiElizabeth PerkinsMiriam MargolyesLawrence GutermanAction Comedy Family Fantasy
the italian job,Jason Statham,Charlize Theron,Jimmy Shubert,F. Gary Gray,Action Crime Thriller,the italian jobJason StathamCharlize TheronJimmy ShubertF. Gary GrayAction Crime Thriller
two weeks notice,Dorian Missick,Alicia Witt,Dana Ivey,Marc Lawrence,Comedy Romance,two weeks noticeDorian MissickAlicia WittDana IveyMarc LawrenceComedy Romance
antz,Sylvester Stallone,Woody Allen,Anne Bancroft,Eric Darnell,Adventure Animation Comedy Family,antzSylvester StalloneWoody AllenAnne BancroftEric DarnellAdventure Animation Comedy Family
couples retreat,Jon Favreau,Kristin Davis,Tasha Smith,Peter Billingsley,Comedy,couples retreatJon FavreauKristin DavisTasha SmithPeter BillingsleyComedy
days of thunder,Tom Cruise,Robert Duvall,Randy Quaid,Tony Scott,Action Drama Sport,days of thunderTom CruiseRobert DuvallRandy QuaidTony ScottAction Drama Sport
cheaper by the dozen 2,Taylor Lautner,Tom Welling,Alyson Stoner,Adam Shankman,Adventure Comedy Family,cheaper by the dozen 2Taylor LautnerTom WellingAlyson StonerAdam ShankmanAdventure Comedy Family
the scorch trials,Ki Hong Lee,Lili Taylor,Rosa Salazar,Wes Ball,Action Sci-Fi Thriller,the scorch trialsKi Hong LeeLili TaylorRosa SalazarWes BallAction Sci-Fi Thriller
eat pray love,James Franco,Julia Roberts,Billy Crudup,Ryan Murphy,Drama Romance,eat pray loveJames FrancoJulia RobertsBilly CrudupRyan MurphyDrama Romance
the family man,Nicolas Cage,Don Cheadle,Amber Valletta,Brett Ratner,Comedy Drama Fantasy Romance,the family manNicolas CageDon CheadleAmber VallettaBrett RatnerComedy Drama Fantasy Romance
red,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Robert Schwentke,Action Comedy Crime Thriller,redBruce WillisMorgan FreemanJaqueline FlemingRobert SchwentkeAction Comedy Crime Thriller
any given sunday,Al Pacino,Dennis Quaid,LL Cool J,Oliver Stone,Drama Sport,any given sundayAl PacinoDennis QuaidLL Cool JOliver StoneDrama Sport
the horse whisperer,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Robert Redford,Drama Romance Western,the horse whispererScarlett JohanssonKristin Scott ThomasJessalyn GilsigRobert RedfordDrama Romance Western
collateral,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Michael Mann,Crime Drama Thriller,collateralTom CruiseJada Pinkett SmithDebi MazarMichael MannCrime Drama Thriller
the scorpion king,Dwayne Johnson,Roger Rees,Bernard Hill,Chuck Russell,Action Adventure Fantasy Thriller,the scorpion kingDwayne JohnsonRoger ReesBernard HillChuck RussellAction Adventure Fantasy Thriller
ladder 49,Billy Burke,Jay Hernandez,Jacinda Barrett,Jay Russell,Action Drama Thriller,ladder 49Billy BurkeJay HernandezJacinda BarrettJay RussellAction Drama Thriller
deep blue sea,LL Cool J,Michael Rapaport,Saffron Burrows,Renny Harlin,Action Sci-Fi Thriller,deep blue seaLL Cool JMichael RapaportSaffron BurrowsRenny HarlinAction Sci-Fi Thriller
this is it,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Kenny Ortega,Documentary Music,this is itMisha Gabriel HamiltonMekia CoxJudith HillKenny OrtegaDocumentary Music
contagion,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Steven Soderbergh,Drama Thriller,contagionMatt DamonMonique Gabriela CurnenGriffin KaneSteven SoderberghDrama Thriller
kangaroo jack,Estella Warren,Dyan Cannon,Bill Hunter,David McNally,Action Adventure Comedy Crime,kangaroo jackEstella WarrenDyan CannonBill HunterDavid McNallyAction Adventure Comedy Crime
coraline,Jennifer Saunders,Dawn French,John Hodgman,Henry Selick,Animation Family Fantasy,coralineJennifer SaundersDawn FrenchJohn HodgmanHenry SelickAnimation Family Fantasy
the happening,Zooey Deschanel,Alan Ruck,Kristen Connolly,M. Night Shyamalan,Sci-Fi Thriller,the happeningZooey DeschanelAlan RuckKristen ConnollyM. Night ShyamalanSci-Fi Thriller
man on fire,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Tony Scott,Action Crime Drama Thriller,man on fireDenzel WashingtonRadha MitchellGiancarlo GianniniTony ScottAction Crime Drama Thriller
the shaggy dog,Robert Downey Jr.,Joel David Moore,Kristin Davis,Brian Robbins,Comedy Family Fantasy,the shaggy dogRobert Downey Jr.Joel David MooreKristin DavisBrian RobbinsComedy Family Fantasy
starsky & hutch,Snoop Dogg,Carmen Electra,Fred Williamson,Todd Phillips,Comedy Crime,starsky & hutchSnoop DoggCarmen ElectraFred WilliamsonTodd PhillipsComedy Crime
jingle all the way,Jim Belushi,Harvey Korman,Jake Lloyd,Brian Levant,Comedy Family,jingle all the wayJim BelushiHarvey KormanJake LloydBrian LevantComedy Family
hellboy,James Babson,Rupert Evans,Brian Steele,Guillermo del Toro,Action Fantasy Horror Sci-Fi,hellboyJames BabsonRupert EvansBrian SteeleGuillermo del ToroAction Fantasy Horror Sci-Fi
a civil action,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Steven Zaillian,Drama,a civil actionRobert DuvallKathleen QuinlanSydney PollackSteven ZaillianDrama
paranorman,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Chris Butler,Adventure Animation Comedy Family Fantasy,paranormanAnna KendrickKodi Smit-McPheeElaine StritchChris ButlerAdventure Animation Comedy Family Fantasy
the jackal,J.K. Simmons,Bruce Willis,Sophie Okonedo,Michael Caton-Jones,Action Adventure Crime Thriller,the jackalJ.K. SimmonsBruce WillisSophie OkonedoMichael Caton-JonesAction Adventure Crime Thriller
paycheck,Ivana Milicevic,Joe Morton,Callum Rennie,John Woo,Action Mystery Sci-Fi Thriller,paycheckIvana MilicevicJoe MortonCallum RennieJohn WooAction Mystery Sci-Fi Thriller
up close & personal,Joe Mantegna,Stockard Channing,Raymond Cruz,Jon Avnet,Drama Romance,up close & personalJoe MantegnaStockard ChanningRaymond CruzJon AvnetDrama Romance
